No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
13,NWHL,CTW,Cassie Dunne,D,"5'3""",N,R,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
16,NWHL,CTW,Hanna Beattie,D,"5'8""",Y,L,,USA,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
23,NWHL,CTW,Denise Cardello,F,"5'1""",Y,,29.0,USA,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
27,NWHL,CTW,Paige Savage,F,"5'8""",Y,L,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
4,NWHL,BUF,Colleen Murphy,D,"5'4""",Y,R,24.0,USA,14.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,10.0,
6,NWHL,BUF,Jessica Sibley,F,"5'5""",Y,L,22.0,CAN,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
22,NWHL,BUF,Kayla Parsons,D,"5'8""",N,L,25.0,USA,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
10,NWHL,BOS,Kaliya Johnson,D,"5'7""",N,R,22.0,USA,16.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,4.0,
5,NWHL,BOS,Lexi Bender,D,"5'8""",N,R,24.0,USA,16.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06,6.0,
6,NWHL,BOS,Elizabeth Parker,D,"5'9""",*,L,26.0,USA,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
12,NWHL,BOS,Marissa Gedman,D,"5'9""",N,L,25.0,USA,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,
18,NWHL,BOS,Michaela Levine,F,"5'7""",N,R,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
24,NWHL,BOS,Denna Laing,F,"5'8""",N,R,26.0,USA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
47,NWHL,BOS,Mallory Souliotis,D|F,"5'5""",Y,R,22.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
12,NWHL,MET,Hillary Crowe,F,"6'0""",*,R,25.0,USA,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
