No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
25,CWHL,MAR,Taylor Woods,F,,,,,,28.0,4.0,1.0,0.0,5.0,4.0,4.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1785714286,18.0,0.0
23,CWHL,MAR,Lindsay Grigg,D,,,,,,28.0,0.0,5.0,2.0,5.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1785714286,6.0,-3.0
7,CWHL,MAR,Laura Stacey,F,,,,,,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,4.0
2,CWHL,MAR,Becca King,F,,,,,,28.0,0.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1071428571,10.0,-5.0
44,CWHL,MAR,Ellie Seedhouse,F,,,,,,16.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1875,0.0,1.0
3,CWHL,MAR,Jocelyne Larocque,D,,,,,,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.5,2.0,8.0
10,CWHL,MAR,Alexis Woloschuk,D,,,,,,14.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1428571429,14.0,0.0
16,CWHL,MAR,Fielding Montgomery,F,,,,,,24.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04166666667,0.0,-5.0
28,CWHL,MAR,Melissa Wronzberg,F,,,,,,23.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04347826087,4.0,-5.0
11,CWHL,MAR,Megan Delay,D,,,,,,21.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04761904762,4.0,-4.0
8,CWHL,MAR,Laura Fortino,D,,,,,,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,2.0
18,CWHL,MAR,Jessica Hartwick,D,,,,,,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,37.0,0.0
24,CWHL,MTL,Ann-Sophie Bettez,F,,,,,,28.0,20.0,21.0,11.0,41.0,31.0,13.0,13.0,9.0,26.0,22.0,4.0,7.0,1.0,11.0,5.0,3.0,1.0,1.0,4.0,4.0,0,1.464285714,10.0,32.0
10,CWHL,MTL,Noémie Marin,F,,,,,,26.0,17.0,14.0,7.0,31.0,24.0,9.0,11.0,7.0,20.0,16.0,8.0,3.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0,1.192307692,12.0,25.0
16,CWHL,MTL,Sarah Lefort,F,,,,,,28.0,18.0,12.0,6.0,30.0,24.0,17.0,9.0,6.0,26.0,23.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.071428571,24.0,25.0
19,CWHL,MTL,Katia Clement-Heydra,F,,,,,,28.0,12.0,14.0,10.0,26.0,22.0,8.0,7.0,4.0,15.0,12.0,2.0,6.0,5.0,8.0,7.0,2.0,1.0,1.0,3.0,3.0,0,0.9285714286,16.0,17.0
